Symbol,Last_Price,Volume_Avg,VWAP,Last_Updated
JSWSTEEL,1053.7,961821.5,1054.83,13:04:00
JUBLFOOD,710.0,270059.0,708.13,13:04:00
JUBLINGREA,780.3,239425.0,779.48,13:04:00
JUBLPHARMA,1202.7,102490.43,1202.03,13:03:59
JUSTDIAL,928.5,44244.38,927.99,13:03:59
JWL,383.75,392812.89,383.66,13:04:00
JYOTHYLAB,340.8,154004.55,341.58,13:04:00
JYOTICNC,1033.0,160474.0,1035.64,13:04:03
KAJARIACER,1144.4,490039.11,1144.09,13:04:03
KALYANKJIL,579.25,1695476.25,578.89,13:04:03
KANSAINER,251.25,150881.75,251.39,13:04:03
KARURVYSYA,265.0,1033285.17,265.98,13:04:03
KAYNES,6224.5,315720.86,6223.43,12:52:12
KEC,903.0,157250.5,902.44,12:46:11
KEI,3856.7,469518.67,3855.81,12:52:12
KFINTECH,1334.0,536487.8,1336.92,13:04:03
KIMS,666.8,174786.0,667.5,13:04:03
KIRLOSBROS,2192.7,159249.67,2201.79,13:04:03
KIRLOSENG,847.85,167108.5,847.37,13:04:03
KNRCON,218.95,524681.5,219.09,13:04:03
KOTAKBANK,2129.5,2644601.33,2133.3,13:04:03
KPIL,1205.0,76290.71,1204.59,13:04:03
KPITTECH,1264.8,572156.33,1264.47,13:04:03
KPRMILL,1169.4,642159.25,1159.43,13:04:06
LALPATHLAB,2747.4,27763.0,2748.95,13:04:06
LATENTVIEW,441.3,1794257.25,442.19,13:04:06
LAURUSLABS,755.4,1337286.75,756.01,13:04:06
LEMONTREE,138.13,641877.29,138.19,13:04:06
LICHSGFIN,611.25,555663.5,611.53,12:58:05
LICI,946.45,549650.33,948.26,12:58:05
LINDEINDIA,6619.5,10454.57,6620.9,12:52:16
LLOYDSME,1535.0,154663.6,1528.56,13:04:06
LODHA,1375.6,250843.0,1377.14,13:04:06
LT,3595.1,394291.0,3599.54,13:04:06
LTF,204.05,2053825.5,204.07,13:04:06
LTFOODS,501.1,2616154.83,500.52,13:04:06
LTIM,5328.0,64790.67,5327.11,13:04:06
LTTS,4347.9,44409.83,4351.99,13:04:06
LUPIN,1947.6,302284.12,1948.9,13:04:06
M&M,3197.3,1142923.86,3200.44,13:04:09
M&MFIN,268.75,5233336.67,269.17,13:04:09
MAHABANK,57.15,7758631.0,57.08,13:04:09
MAHSEAMLES,741.9,174682.12,741.38,13:04:09
MANAPPURAM,274.0,2999412.5,274.11,12:58:09
MANKIND,2368.4,149789.83,2370.59,12:52:19
MANYAVAR,800.25,139431.62,801.23,12:58:09
MAPMYINDIA,1754.0,18659.17,1754.13,12:52:19
MARICO,712.45,1038769.29,714.22,13:04:09
MARUTI,12785.0,311031.14,12761.12,13:04:09
MASTEK,2420.0,16493.14,2421.36,13:04:09
MAXHEALTH,1300.2,1913175.5,1301.21,13:04:09
MAZDOCK,3300.0,903127.71,3298.22,13:04:09
MCX,8979.0,399214.62,8987.21,13:04:09
MEDANTA,1190.2,217695.0,1189.76,13:04:09
METROPOLIS,1739.8,22421.88,1736.99,13:04:09
MFSL,1627.1,123427.71,1627.03,13:04:13
MGL,1511.0,95681.67,1510.51,13:04:13
MINDACORP,521.7,77133.62,521.33,13:04:13
MMTC,70.65,431165.0,70.62,13:04:13
MOTHERSON,154.55,6043807.0,154.68,13:04:13
MOTILALOFS,907.35,6028517.6,907.89,12:52:23
MPHASIS,2887.5,99481.2,2887.84,12:52:23
