symbol,stock_name,market_cap_type,category,threshold%,days_check,sector,business_domain,volatility_category,avg_daily_volume_category,,,comments
SHYAMMETL,,Small_Cap,A,500,1,,,,,,,
SIEMENS,,Large_Cap,B,300,1,,,,,,,
SIGNATURE,,Small_Cap,A,500,1,,,,,,,
SJVN,,Mid_Cap,B,400,1,,,,,,,
SKFINDIA,,Small_Cap,A,500,1,,,,,,,
SOBHA,,Small_Cap,A,500,1,,,,,,,
SOLARINDS,,Mid_Cap,B,400,1,,,,,,,
SONACOMS,,Mid_Cap,B,400,1,,,,,,,
SONATSOFTW,,Small_Cap,A,500,1,,,,,,,
SRF,,Mid_Cap,A,400,1,,,,,,,
STARHEALTH,,Mid_Cap,B,400,1,,,,,,,
SUMICHEM,,Small_Cap,A,500,1,,,,,,,
SUNDARMFIN,,Mid_Cap,B,400,1,,,,,,,
SUNDRMFAST,,Small_Cap,A,500,1,,,,,,,
SUNPHARMA,,Large_Cap,A,200,1,,,,,,,
SUNTV,,Mid_Cap,B,400,1,,,,,,,
SUPREMEIND,,Mid_Cap,A,400,1,,,,,,,
SUZLON,,Mid_Cap,B,400,1,,,,,,,
SWANENERGY,,Small_Cap,A,500,1,,,,,,,
SWIGGY,,Large_Cap,B,300,1,,,,,,,
SWSOLAR,,Small_Cap,A,500,1,,,,,,,
SYNGENE,,Mid_Cap,B,400,1,,,,,,,
SYRMA,,Small_Cap,A,500,1,,,,,,,
TANLA,,Small_Cap,A,500,1,,,,,,,
TARIL,,Small_Cap,A,500,1,,,,,,,
TATACHEM,,Small_Cap,A,500,1,,,,,,,
TATACOMM,,Mid_Cap,B,400,1,,,,,,,
TATACONSUM,,Large_Cap,A,200,1,,,,,,,
TATAELXSI,,Mid_Cap,B,400,1,,,,,,,
TATAINVEST,,Mid_Cap,B,400,1,,,,,,,
TATAMOTORS,,Large_Cap,A,200,1,,,,,,,
TATAPOWER,,Large_Cap,B,300,1,,,,,,,
TATASTEEL,,Large_Cap,A,200,1,,,,,,,
TATATECH,,Mid_Cap,B,400,1,,,,,,,
TBOTEK,,Small_Cap,A,500,1,,,,,,,
TCS,,Large_Cap,A,200,1,,,,,,,
TECHM,,Large_Cap,A,200,1,,,,,,,
TECHNOE,,Small_Cap,A,500,1,,,,,,,
TEJASNET,,Small_Cap,A,500,1,,,,,,,
THERMAX,,Mid_Cap,B,400,1,,,,,,,
TIINDIA,,Mid_Cap,A,400,1,,,,,,,
TIMKEN,,Small_Cap,A,500,1,,,,,,,
TITAGARH,,Small_Cap,A,500,1,,,,,,,
TITAN,,Large_Cap,A,200,1,,,,,,,
